Time,X,Y
1715768764.0353434,1135,253
1715768764.0353434,1144,252
1715768764.066614,1152,251
1715768764.0868251,1157,249
1715768764.0984187,1162,250
1715768764.1140554,1168,251
1715768764.1140554,1175,252
1715768764.1297326,1178,250
1715768764.145427,1180,251
1715768764.1610458,1180,250
1715768764.1766684,1181,248
1715768764.192911,1188,248
1715768764.20856,1196,251
1715768764.2243114,1202,255
1715768764.2399206,1204,262
1715768764.255539,1200,269
1715768764.255539,1198,276
1715768764.2711263,1188,287
1715768764.287323,1182,292
1715768764.3029494,1176,289
1715768764.318668,1149,297
1715768764.334292,1065,321
1715768764.3499253,741,403
1715768764.3655515,431,476
1715768764.3811605,441,477
1715768764.3968153,461,477
1715768764.3968153,459,476
1715768764.412454,458,477
1715768764.4282365,445,480
1715768764.443689,442,481
1715768764.459441,437,480
1715768764.475063,444,482
1715768764.475063,438,480
1715768764.4912503,438,480
1715768764.4912503,453,481
1715768764.5069778,446,476
1715768764.5226285,441,475
1715768764.5382528,449,478
1715768764.5538814,412,477
1715768764.569493,419,480
1715768764.5886583,411,480
1715768764.6012452,427,479
1715768764.6169686,429,480
1715768764.6169686,419,479
1715768764.632592,423,481
1715768764.6482162,436,485
1715768764.6637511,434,482
1715768764.6795049,436,482
1715768764.695701,850,183
1715768764.711461,851,182
1715768764.727085,850,182
1715768764.7427125,850,182
1715768764.758332,849,183
1715768764.758332,849,182
1715768764.7738311,849,182
1715768764.7738311,849,180
1715768764.7898717,848,182
1715768764.8056283,848,182
1715768764.821253,846,182
1715768764.836875,845,182
1715768764.8524945,845,181
1715768764.8681269,843,182
1715768764.8836198,841,182
1715768764.8997166,839,183
1715768764.9154196,838,183
1715768764.9310863,838,182
1715768764.9490957,835,182
1715768764.9626534,833,183
1715768764.9784133,831,183
1715768764.9941962,830,183
1715768765.0099556,829,182
1715768765.0255806,827,182
1715768765.0412054,825,183
1715768765.0412054,823,184
1715768765.0567887,822,184
1715768765.072449,820,184
1715768765.089689,818,186
1715768765.1043277,818,184
1715768765.1200867,815,186
1715768765.1357067,812,187
1715768765.151294,805,187
1715768765.1669204,809,187
1715768765.1825356,797,194
1715768765.1987445,810,206
1715768765.2144668,898,202
1715768765.2300026,920,211
1715768765.2457972,911,212
1715768765.261375,879,212
1715768765.2769928,852,220
1715768765.2927716,825,228
1715768765.30853,804,241
1715768765.32403,785,244
1715768765.339665,775,247
1715768765.3553572,761,250
1715768765.3710287,765,253
1715768765.390658,759,253
1715768765.4027874,753,256
1715768765.4185057,750,258
1715768765.4341342,741,260
1715768765.449684,737,262
1715768765.465378,735,261
1715768765.4809957,735,262
1715768765.4966629,733,262
1715768765.5124555,734,262
1715768765.528033,733,262
1715768765.5436535,734,263
1715768765.5592875,735,263
1715768765.574907,734,264
1715768765.591048,733,265
1715768765.6066751,732,264
1715768765.6066751,734,265
1715768765.6224022,734,265
1715768765.6380565,734,265
1715768765.653685,732,264
1715768765.6693056,732,265
1715768765.6848874,733,265
1715768765.7009954,734,266
1715768765.716716,732,266
1715768765.7323382,731,266
1715768765.747877,730,266
1715768765.763534,731,267
1715768765.7791233,730,267
1715768765.7948878,730,266
1715768765.8106441,728,268
1715768765.826271,728,270
1715768765.8418922,728,268
1715768765.8575208,727,269
1715768765.8731732,727,269
1715768765.8731732,727,268
1715768765.8917515,727,269
1715768765.9048817,727,269
1715768765.9206424,727,269
1715768765.9362612,726,269
1715768765.951777,725,269
1715768765.9674606,726,269
1715768765.983103,725,269
1715768765.9992964,725,269
1715768766.0150073,725,270
1715768766.0306404,725,270
1715768766.0461783,725,269
1715768766.0619438,725,269
1715768766.0775423,725,269
1715768766.0936852,724,269
1715768766.1094444,724,269
1715768766.1250675,724,270
1715768766.1406918,725,270
1715768766.1563213,724,269
1715768766.1563213,724,268
1715768766.171814,724,269
1715768766.1921167,724,270
1715768766.2037284,724,270
1715768766.2194724,723,269
1715768766.2349985,723,269
1715768766.2506907,723,270
1715768766.266314,723,269
1715768766.2818673,723,269
1715768766.2979178,723,268
1715768766.3135827,723,269
1715768766.3291748,723,269
1715768766.3449209,724,269
1715768766.3662758,723,269
1715768766.3751657,723,269
1715768766.3822618,723,269
1715768766.3976786,723,269
1715768766.4137301,722,269
1715768766.4305074,723,270
1715768766.4478061,722,269
1715768766.4637878,723,269
1715768766.4637878,723,270
1715768766.4799023,722,270
1715768766.4990213,722,270
1715768766.5154405,722,269
1715768766.5336215,722,270
1715768766.5487194,722,270
1715768766.563526,723,271
1715768766.5804868,723,271
1715768766.598044,723,270
1715768766.6142106,722,270
1715768766.6297739,722,271
1715768766.6470165,723,271
1715768766.663942,723,270
1715768766.6801848,723,270
1715768766.6962433,724,271
1715768766.7124395,724,271
1715768766.7288833,724,270
1715768766.7455845,724,271
1715768766.7455845,724,271
1715768766.76244,725,271
1715768766.7788198,724,270
1715768766.7952788,724,270
1715768766.8122764,725,270
1715768766.8122764,725,271
1715768766.8289862,725,271
1715768766.8454068,724,271
1715768766.8620956,725,271
1715768766.8788083,725,271
